ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-01,166.57748712,99.06196308671478,354.4141520148781,166.57748712,166.57748712,63.88839340327139,63.88839340327139,63.88839340327139,134.994845952,134.994845952,134.994845952,-117.13087419272779,-117.13087419272779,-117.13087419272779,46.02442164399916,46.02442164399916,46.02442164399916,0.0,0.0,0.0,230.46588052327138
2019-01-02,166.57103083214173,56.84517457232806,308.2127943980796,166.57103083214173,166.57103083214173,17.438313235610323,17.438313235610323,17.438313235610323,134.994845952,134.994845952,134.994845952,-147.42928730417535,-147.42928730417535,-147.42928730417535,29.872754587785675,29.872754587785675,29.872754587785675,0.0,0.0,0.0,184.00934406775207
2019-01-03,166.56457454428343,117.01628068462718,360.4905360445343,166.56457454428343,166.56457454428343,77.6195983427695,77.6195983427695,77.6195983427695,134.994845952,134.994845952,134.994845952,-71.53193418591182,-71.53193418591182,-71.53193418591182,14.156686576681322,14.156686576681322,14.156686576681322,0.0,0.0,0.0,244.18417288705294
2019-01-04,166.55811825642516,240.70198533500383,494.46249964801825,166.55811825642516,166.55811825642516,196.7612435869048,196.7612435869048,196.7612435869048,134.994845952,134.994845952,134.994845952,62.708383793054054,62.708383793054054,62.708383793054054,-0.9419861581492444,-0.9419861581492444,-0.9419861581492444,0.0,0.0,0.0,363.31936184332994
2019-01-05,166.55166196856686,285.0230471978592,528.7970531715554,166.55166196856686,166.55166196856686,240.11584659174,240.11584659174,240.11584659174,134.994845952,134.994845952,134.994845952,120.37719824794303,120.37719824794303,120.37719824794303,-15.25619760820304,-15.25619760820304,-15.25619760820304,0.0,0.0,0.0,406.6675085603068
2019-01-06,166.54520568070856,305.3436216693684,544.7093460256629,166.54520568070856,166.54520568070856,257.6361933966768,257.6361933966768,257.6361933966768,134.994845952,134.994845952,134.994845952,151.27819633603892,151.27819633603892,151.27819633603892,-28.636848891362156,-28.636848891362156,-28.636848891362156,0.0,0.0,0.0,424.1813990773853
2019-01-07,166.53874939285026,138.7928023627282,378.3431472131088,166.53874939285026,166.53874939285026,95.76762032183132,95.76762032183132,95.76762032183132,134.994845952,134.994845952,134.994845952,1.728317305676748,1.728317305676748,1.728317305676748,-40.955542935845436,-40.955542935845436,-40.955542935845436,0.0,0.0,0.0,262.3063697146816
2019-01-08,166.532293104992,8.383208273366737,260.21279991008936,166.532293104992,166.532293104992,-34.2427888349204,-34.2427888349204,-34.2427888349204,134.994845952,134.994845952,134.994845952,-117.13087419293282,-117.13087419293282,-117.13087419293282,-52.10676059398758,-52.10676059398758,-52.10676059398758,0.0,0.0,0.0,132.2895042700716
2019-01-09,166.5258368171337,-24.035354601878705,230.0834708857203,166.5258368171337,166.5258368171337,-74.44387901097373,-74.44387901097373,-74.44387901097373,134.994845952,134.994845952,134.994845952,-147.42928730411657,-147.42928730411657,-147.42928730411657,-62.00943765885718,-62.00943765885718,-62.00943765885718,0.0,0.0,0.0,92.08195780615996
2019-01-10,166.5193805292754,22.20486962168963,277.00907400213805,166.5193805292754,166.5193805292754,-7.145007065625205,-7.145007065625205,-7.145007065625205,134.994845952,134.994845952,134.994845952,-71.53193418597198,-71.53193418597198,-71.53193418597198,-70.60791883165327,-70.60791883165327,-70.60791883165327,0.0,0.0,0.0,159.3743734636502
2019-01-11,166.51292424141712,159.22818748983184,413.01148943202946,166.51292424141712,166.51292424141712,119.8309481967431,119.8309481967431,119.8309481967431,134.994845952,134.994845952,134.994845952,62.70838379314993,62.70838379314993,62.70838379314993,-77.87228154840683,-77.87228154840683,-77.87228154840683,0.0,0.0,0.0,286.34387243816025
2019-01-12,166.50646795355883,206.54039604552287,466.8274125236338,166.50646795355883,166.50646795355883,171.57400494436993,171.57400494436993,171.57400494436993,134.994845952,134.994845952,134.994845952,120.37719824800091,120.37719824800091,120.37719824800091,-83.79803925563095,-83.79803925563095,-83.79803925563095,0.0,0.0,0.0,338.08047289792876
